2020-12-05 14:36:33.168679||meta||agents||4
2020-12-05 14:36:33.168759||meta||treatnames||A (men's search)@|B (women's search)
2020-12-05 14:36:33.169071||meta||block_id start||0
2020-12-05 14:36:33.169105||meta||assignment||3@|1@|0@|2
2020-12-05 14:42:12.031441||treatment||visit page||https://www.google.com/search?source=hp&ei=e_DLX-a6A4O7tQaApYyIAw&iflsig=AINFCbYAAAAAX8v-izSFLpACuyFH-Nb2qB_N3O5L-ltL&q=shampoo+for+women&oq=shampoo+for+women&gs_lcp=CgZwc3ktYWIQAzIFCAAQyQMyAggAMgIIADICCAAyAggAUPoxWI9DYJRUaABwAHgAgAGIDYgB3CeSAQk1LTEuMC4yLjGYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwim5Mbx2bftAhWDXc0KHYASAzEQ4dUDCAk&uact=5||2||1
2020-12-05 14:42:16.469635||treatment||google search||beard shaving kit||1||0
2020-12-05 14:42:16.643970||error||visiting||google searchresults||1||0
2020-12-05 14:42:21.213502||treatment||visit page||https://www.google.com/search?source=hp&ei=k_DLX6SyINu3tQac64-QDw&q=beard+shaving+kit&oq=beard+shaving+kit&gs_lcp=CgZwc3ktYWIQA1AAWABgrRJoAHAAeACAAQCIAQCSAQCYAQCqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwjkx5z92bftAhXbW80KHZz1A_IQ4dUDCAg&uact=5||3||0
2020-12-05 14:42:30.274884||treatment||visit page||https://www.headandshoulders.com/en-us/shop-products/shampoos-for-women||0||1
2020-12-05 14:42:31.241963||treatment||visit page||https://www.groominglounge.com/collections/beard-tools-kits||1||0
2020-12-05 14:42:31.993703||error||visiting||google searchresults||2||1
2020-12-05 14:42:40.022365||error||visiting||google searchresults||2||1
2020-12-05 14:42:41.513351||error||visiting||google searchresults||3||0
2020-12-05 14:42:48.061629||error||visiting||google searchresults||2||1
2020-12-05 14:42:49.538411||error||visiting||google searchresults||3||0
2020-12-05 14:42:51.715155||treatment||visit page||https://www.amazon.com/shaving-kit/s?k=shaving+kit||1||0
2020-12-05 14:42:57.561479||error||visiting||google searchresults||3||0
2020-12-05 14:43:03.658013||treatment||google search||ladies's shaving kit||2||1
2020-12-05 14:43:03.691432||error||visiting||google searchresults||2||1
2020-12-05 14:43:08.273203||treatment||visit page||https://nymag.com/strategist/article/best-shampoos-dandruff-volumizing-thinning-dry.html||0||1
2020-12-05 14:43:12.825623||treatment||google search||manly cocktails||3||0
2020-12-05 14:43:13.025170||error||visiting||google searchresults||3||0
2020-12-05 14:43:19.203096||treatment||visit page||https://www.amazon.com/stores/RapidBeard/ShavingKit/page/6DCC3711-861B-4EAD-B9D6-9A3E5A9C5C9E||1||0
2020-12-05 14:43:28.313591||treatment||visit page||https://www.womenshealthmag.com/beauty/a19947497/best-shampoos-for-thinning-hair/||0||1
2020-12-05 14:43:28.889267||treatment||visit page||https://hellosubscription.com/best-womens-razor-shaving-subscriptions/||2||1
2020-12-05 14:43:34.350935||error||visiting||google searchresults||1||0
2020-12-05 14:43:35.025959||treatment||visit page||https://nextluxury.com/food-travel/top-50-best-manly-drinks-for-men/||3||0
2020-12-05 14:43:57.424788||treatment||google search||manly cocktails||1||0
2020-12-05 14:43:57.547294||error||visiting||google searchresults||1||0
2020-12-05 14:43:59.570499||treatment||visit page||https://www.marieclaire.com/beauty/g25096473/best-shampoo-and-conditioner-reviews/||0||1
2020-12-05 14:44:03.248809||treatment||visit page||https://www.maggardrazors.com/product/beginners-double-edge-razor-kit-for-women-2-2/||2||1
2020-12-05 14:44:05.772773||treatment||visit page||https://www.mankind.co.uk/blog/lifestyle-focus/top-5-manly-cocktails-you-must-try/||3||0
2020-12-05 14:44:17.305126||error||visiting||google searchresults||3||0
2020-12-05 14:44:19.627875||treatment||visit page||https://nextluxury.com/food-travel/top-50-best-manly-drinks-for-men/||1||0
2020-12-05 14:44:22.199525||treatment||google search||ladies's shaving kit||0||1
2020-12-05 14:44:22.381245||error||visiting||google searchresults||0||1
2020-12-05 14:44:25.642128||error||visiting||google searchresults||3||0
2020-12-05 14:44:30.928515||treatment||visit page||https://www.schick.com/us/en/subscription-women||2||1
2020-12-05 14:44:33.650878||event||progress-marker||training-end||3||0
2020-12-05 14:44:40.266424||treatment||visit page||https://hellosubscription.com/best-womens-razor-shaving-subscriptions/||0||1
2020-12-05 14:44:47.882790||treatment||visit page||https://www.mankind.co.uk/blog/lifestyle-focus/top-5-manly-cocktails-you-must-try/||1||0
2020-12-05 14:44:55.946975||treatment||visit page||https://www.etsy.com/market/shaving_kit_women||2||1
2020-12-05 14:44:57.062882||error||visiting||google searchresults||1||0
2020-12-05 14:45:05.208583||error||visiting||google searchresults||1||0
2020-12-05 14:45:06.158723||treatment||visit page||https://www.maggardrazors.com/product/beginners-double-edge-razor-kit-for-women-2-2/||0||1
2020-12-05 14:45:10.052377||treatment||google search||girly cocktails||2||1
2020-12-05 14:45:10.087065||error||visiting||google searchresults||2||1
